Iteration Report: 

| iter  | success | list size |     min alpha    |     max alpha    |
|     0 |    --   |      38   | +1.60000000e+01 | +1.60000000e+01 |
|     1 |     1   |      38   | +1.60000000e+01 | +3.20000000e+01 |
|     2 |     1   |      32   | +1.60000000e+01 | +6.40000000e+01 |
|     3 |     1   |      35   | +1.60000000e+01 | +1.28000000e+02 |
|     4 |     1   |      36   | +1.60000000e+01 | +1.28000000e+02 |
|     5 |     1   |      38   | +1.60000000e+01 | +1.28000000e+02 |
|     6 |     0   |      38   | +1.60000000e+01 | +1.28000000e+02 |
|     7 |     0   |      38   | +1.60000000e+01 | +1.28000000e+02 |
|     8 |     0   |      38   | +1.60000000e+01 | +1.28000000e+02 |
|     9 |     1   |      39   | +1.60000000e+01 | +1.28000000e+02 |
|    10 |     0   |      39   | +1.60000000e+01 | +1.28000000e+02 |
|    11 |     1   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    12 |     1   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    13 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    14 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    15 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    16 |     1   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    17 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    18 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    19 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    20 |     1   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    21 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    22 |     1   |      42   | +1.60000000e+01 | +1.28000000e+02 |
|    23 |     0   |      42   | +1.60000000e+01 | +1.28000000e+02 |
|    24 |     0   |      42   | +1.60000000e+01 | +1.28000000e+02 |
|    25 |     0   |      42   | +1.60000000e+01 | +1.28000000e+02 |
|    26 |     1   |      39   | +1.60000000e+01 | +1.28000000e+02 |
|    27 |     0   |      39   | +1.60000000e+01 | +1.28000000e+02 |
|    28 |     1   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    29 |     0   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    30 |     0   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    31 |     0   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    32 |     1   |      37   | +1.60000000e+01 | +1.28000000e+02 |
|    33 |     0   |      37   | +1.60000000e+01 | +1.28000000e+02 |
|    34 |     0   |      37   | +1.60000000e+01 | +1.28000000e+02 |
|    35 |     0   |      37   | +1.60000000e+01 | +1.28000000e+02 |
|    36 |     1   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    37 |     0   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    38 |     0   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    39 |     1   |      40   | +1.60000000e+01 | +1.28000000e+02 |
|    40 |     1   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    41 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    42 |     0   |      41   | +1.60000000e+01 | +1.28000000e+02 |
|    43 |     0   |      41   | +8.00000000e+00 | +1.28000000e+02 |
|    44 |     0   |      41   | +8.00000000e+00 | +1.28000000e+02 |
|    45 |     1   |      43   | +8.00000000e+00 | +1.28000000e+02 |
|    46 |     0   |      43   | +8.00000000e+00 | +1.28000000e+02 |
|    47 |     1   |      45   | +8.00000000e+00 | +1.28000000e+02 |
|    48 |     1   |      46   | +8.00000000e+00 | +1.28000000e+02 |
|    49 |     1   |      46   | +8.00000000e+00 | +1.28000000e+02 |
|    50 |     0   |      46   | +8.00000000e+00 | +1.28000000e+02 |
