Iteration Report: 

| iter  | success | #active points |     min alpha    |     max alpha    |
|     0 |   --    |        1       | +1.28000000e+02 | +1.28000000e+02 |
|     1 |    0    |        1       | +6.40000000e+01 | +6.40000000e+01 |
|     2 |    1    |        1       | +6.40000000e+01 | +6.40000000e+01 |
|     3 |    0    |        1       | +3.20000000e+01 | +3.20000000e+01 |
|     4 |    0    |        1       | +1.60000000e+01 | +1.60000000e+01 |
|     5 |    0    |        1       | +8.00000000e+00 | +8.00000000e+00 |
|     6 |    0    |        1       | +4.00000000e+00 | +4.00000000e+00 |
|     7 |    0    |        1       | +2.00000000e+00 | +2.00000000e+00 |
|     8 |    1    |        1       | +2.00000000e+00 | +2.00000000e+00 |
|     9 |    0    |        1       | +1.00000000e+00 | +1.00000000e+00 |
